row_number,test_short_name,test_full_name,date_sample_submitted,client_name,client_type,sample_type,site,sample_description_number_1,sample_description_number_2,sample_description_number_3,sample_description_number_4,analytical_company_name,lab_number,measurement_name,measurement_result
18,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Manganese (ppm),49
19,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Copper (ppm),2.7
20,S001,Standard Soil Test,2013-10-09T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Zinc (ppm),12.8
21,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,pH,7.9
22,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Salt Concentration - TDS (ppm),157.4
23,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,pHc,8
24,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Conductivity (mmhos/cm),0.3
25,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,SAR,0.07
26,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Adjusted SAR,0.1
27,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Calcium (ppm),38.1
28,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Calcium (mEq/L),1.9
29,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Calcium (lbs/ac in),8.6
30,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Magnesium (ppm),5
31,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Magnesium (mEq/L),0.4
32,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Magnesium (lbs/ac in),1.16
33,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Potassium (ppm),1.8
34,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Potassium (mEq/L),0.1
35,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Potassium (lbs/ac in),0.41
36,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Sodium (ppm),1.7
37,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Sodium (mEq/L),0.1
38,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Sodium (lbs/ac in),0.41
39,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Iron (ppm),0.3
40,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Total Cations (mEq/L),2.4
41,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Total Alkalinity-CaCO3 (ppm),76
42,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Total Alkalinity-CaCO3 (lbs/ac in),17.25
43,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Carbonate (ppm),0
44,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Carbonate (mEq/L),0
45,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Carbonate (lbs/ac in),0
46,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Bicarbonate (ppm),92.7
47,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Bicarbonate (mEq/L),1.5
48,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Bicarbonate (lbs/ac in),21
49,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Hydroxide (ppm),0
50,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Chloride (ppm),NA
51,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Sulfate (ppm),59.8
52,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Sulfate (lbs/ac in),13.58
53,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Total Anions (mEq/L),2.8
54,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Cation/Anion Ratio,0.88
55,W002,Standard Irrigation Water Analysis,2013-10-09T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,QC,NA,NA,Harrell's,NA,Boron (ppm),NA
56,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,pH,7.8
57,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Soluble Salts (ppm),698
58,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Total Nitrogen (ppm),3.4
59,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Ammonium (ppm),NA
60,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Calcium (ppm),149
61,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Magnesium (ppm),30
62,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Potassium (ppm),55
63,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Phosphorus (ppm),0.3
64,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sulfur (ppm),92
65,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Bicarbonate (ppm),129
66,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,SAR,0.3
67,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sodium (ppm),15
68,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Boron (ppm),0.02
69,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Iron (ppm),0.2
70,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Copper (ppm),0.11
71,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Manganese (ppm),0.11
72,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Zinc (ppm),0.02
73,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Chloride (ppm),13
74,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Calcium (%),62.1
75,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Magnesium (%),20.9
76,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Potassium (%),11.7
77,S006W,SPE Analysis (Extracted w/ Client Water),2013-10-09T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sodium (%),5.3
78,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Total Exchange Capacity (meq/100g),16.9
79,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,pH,7.4
80,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Organic Matter (%),4.4
81,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sulfur (ppm),84
82,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Phosphorus (ppm),166
83,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Calcium (ppm),2489
84,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Magnesium (ppm),289
85,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Potassium (ppm),375
86,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sodium (ppm),85
87,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Calcium (%),73.8
88,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Magnesium (%),14.3
89,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Potassium (%),5.7
90,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sodium (%),2.2
91,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Other Bases (%),4
92,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Hydrogen (%),0
93,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Boron (ppm),0.9
94,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Iron (ppm),414
95,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Manganese (ppm),73
96,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Copper (ppm),2.8
97,S001,Standard Soil Test,2014-07-22T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Zinc (ppm),13.4
98,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,pH,7.5
99,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Soluble Salts (ppm),814
100,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Total Nitrogen (ppm),20.4
101,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Ammonium (ppm),1.9
102,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Calcium (ppm),156
103,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Magnesium (ppm),31
104,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Potassium (ppm),65
105,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Phosphorus (ppm),0.7
106,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sulfur (ppm),129
107,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Bicarbonate (ppm),66
108,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,SAR,0.8
109,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sodium (ppm),42
110,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Boron (ppm),0.07
111,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Iron (ppm),NA
112,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Copper (ppm),0.1
113,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Manganese (ppm),NA
114,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Zinc (ppm),0.01
115,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Chloride (ppm),87
116,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Calcium (%),56.5
117,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Magnesium (%),18.2
118,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Potassium (%),12
119,S006W,SPE Analysis (Extracted w/ Client Water),2014-07-22T00:00:00Z,MCC,Golf,SPE,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sodium (%),13.3
120,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Total Exchange Capacity (meq/100g),13.7
121,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,pH,7.5
122,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Organic Matter (%),4.2
123,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sulfur (ppm),50
124,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Phosphorus (ppm),117
125,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Calcium (ppm),2069
126,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Magnesium (ppm),240
127,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Potassium (ppm),262
128,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sodium (ppm),43
129,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Calcium (%),75.3
130,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Magnesium (%),14.6
131,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Potassium (%),4.9
132,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Sodium (%),1.4
133,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Other Bases (%),3.9
134,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Hydrogen (%),0
135,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Boron (ppm),0.7
136,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Iron (ppm),410
137,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Manganese (ppm),64
138,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Copper (ppm),3.7
139,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,2,NA,NA,Harrell's,NA,Zinc (ppm),10
140,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Total Exchange Capacity (meq/100g),3.4
141,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,pH,7.8
142,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Organic Matter (%),1.2
143,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Sulfur (ppm),8
144,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Phosphorus (ppm),24
145,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Calcium (ppm),473
146,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Magnesium (ppm),81
147,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Potassium (ppm),50
148,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Sodium (ppm),19
149,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Calcium (%),70.2
150,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Magnesium (%),20
151,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Potassium (%),3.8
152,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Sodium (%),2.5
153,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Other Bases (%),3.6
154,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Hydrogen (%),0
155,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Boron (ppm),0.3
156,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Iron (ppm),81
157,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Manganese (ppm),19
158,S001,Standard Soil Test,2015-06-23T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,13,NA,NA,Harrell's,NA,Copper (ppm),1.6
